Percent-of-Population-Under-15-(2013-2017),Percent-of-Population-Aged-15-to-64-(2013-2017),Percent-of-Population-65+-(2013-2017),Percent-of-Population-White-(non-Hispanic)-(2013-2017),Percent-of-Populaiton-Black-(non-Hispanic)-(2013-2017),Percent-of-Population-Hispanic-or-Latino-(2013-2017),Percent-of-Population-Asian-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2013-2017),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2013-2017),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2013-2017),Poverty-Rate-(2013-2017),Median-Household-Income-(2013-2017),Unemployment-Rate-(2013-2017),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2013-2017),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2013-2017),Percent-of-Popualtion-Employed-in-Construction-(2013-2017),Percent-of-Popualtion-Employed-in-Trade-Transportation-and-Utilities-(2013-2017),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,death-rate-2013-2016,goodsam-law,goodsam-cs_Arrest,goodsam-cs_Charge,goodsam-cs_Prosecution,goodsam-cs_Law provides an affirmative defense,goodsam-cs_None,goodsam-paraphernalia_Arrest,goodsam-paraphernalia_Charge,goodsam-paraphernalia_Prosecution,goodsam-paraphernalia_Law provides an affirmative defense,goodsam-paraphernalia_None,goodsam-paroleyn,goodsam-parole_Protection from arrest,goodsam-parole_Protection from charge,goodsam-parole_Protection from prosecution,goodsam-parole_Protection from revocation of probation and/or parole,goodsam-parole_General protection from sanctions for violation of probation and/or parole,goodsam-mitigation,goodsam-mit-type_Controlled substances offenses,goodsam-mit-type_Alcohol-related offenses,goodsam-mit-type_Other offenses beyond controlled substances and alcohol-related violations
0.2097,0.712,0.0784,0.7153,0.0398,0.0747,0.0288,0.06,0.005,0.9439,0.3337,0.0776,73831.0,0.0846,0.0927,0.0296,0.0745,0.2115,6.0,7.0,10.98,Urban,2.0,2.0,1.0,3.0,2.0,28.95656515,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.2279,0.6765,0.0956,0.8037,0.0098,0.0452,0.0133,0.0504,0.0018,0.924,0.2059,0.0967,73908.0,0.0986,0.1173,0.0075,0.0888,0.2163,5.0,8.0,19.25,Urban,3.0,3.0,1.0,3.0,2.0,53.709502528400165,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0.1859,0.6166,0.1976,0.563,0.0371,0.344,0.0173,0.0082,0.0028,0.8659,0.2316,0.1893,45383.0,0.0857,0.1468,0.0325,0.0346,0.1711,12.0,19.0,10.14,Urban,3.0,3.0,2.0,4.0,3.0,52.27146836015822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1797,0.7116,0.1087,0.5462,0.0134,0.1371,0.0168,0.2595,0.0011,0.8891,0.3421,0.2216,51106.0,0.0824,0.0997,0.003,0.0349,0.1579,9.0,10.0,14.49,Urban,2.0,3.0,1.0,3.0,2.0,19.556147873449994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2085,0.6531,0.1384,0.5692,0.0501,0.3029,0.0376,0.0154,0.0019,0.8695,0.3097,0.1652,55676.0,0.0681,0.0871,0.0045,0.0543,0.1979,156.0,178.0,13.33,Urban,2.0,2.0,2.0,3.0,2.0,39.35381476411314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1531,0.5783,0.2686,0.7825,0.0095,0.1571,0.0115,0.0189,0.0014,0.8385,0.1188,0.1932,39856.0,0.1168,0.1889,0.0111,0.0486,0.2338,17.0,14.0,12.28,Urban,4.0,3.0,5.0,4.0,4.0,69.73466451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1813,0.6407,0.178,0.5327,0.032,0.3611,0.0259,0.0238,0.0013,0.8775,0.308,0.1909,46764.0,0.0921,0.1219,0.0076,0.0422,0.1661,63.0,58.0,13.36,Urban,2.0,2.0,2.0,4.0,2.0,61.49473058929294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2038,0.614,0.1823,0.5789,0.0433,0.2919,0.0166,0.0461,0.0033,0.8492,0.1847,0.1647,51190.0,0.0943,0.1265,0.0613,0.0298,0.1623,23.0,24.0,9.05,Urban,4.0,1.0,2.0,4.0,3.0,29.92927636542892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1417,0.5755,0.2827,0.8116,0.0052,0.1405,0.008,0.0155,0.0002,0.9017,0.2554,0.1468,46638.0,0.0853,0.1549,0.022,0.0624,0.2056,25.0,20.0,21.96,Urban,2.0,2.0,3.0,3.0,2.0,26.076692926353928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.218,0.6081,0.1739,0.3275,0.018,0.6197,0.0115,0.0088,0.0013,0.7172,0.1439,0.2048,41467.0,0.1246,0.0851,0.2009,0.0354,0.1575,10.0,15.0,6.89,Urban,5.0,4.0,3.0,5.0,4.0,4.427129449265096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2283,0.6439,0.1278,0.7474,0.0143,0.1607,0.0352,0.013,0.0043,0.8723,0.3072,0.1138,59016.0,0.0344,0.0776,0.0062,0.0386,0.2334,3.0,5.0,4.08,Urban,3.0,1.0,1.0,3.0,2.0,33.84563941752878,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.1825,0.6312,0.1863,0.8469,0.1051,0.0224,0.0011,0.0023,0.0,0.8613,0.1575,0.2005,42429.0,0.089,0.1752,0.1187,0.0188,0.1954,0.0,0.0,0.0,Urban,5.0,2.0,3.0,5.0,4.0,23.75014843842774,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.2083,0.6632,0.1285,0.7797,0.1383,0.0472,0.0119,0.0027,0.0008,0.8795,0.2539,0.1892,43892.0,0.0634,0.1537,0.0072,0.0417,0.2087,6.0,6.0,12.64,Urban,3.0,2.0,2.0,3.0,2.0,17.495431748376813,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.206,0.6408,0.1533,0.8548,0.0133,0.0699,0.0175,0.0145,0.0,0.8528,0.1355,0.1878,41792.0,0.0707,0.1793,0.0145,0.045,0.304,1.0,0.0,0.0,Urban,5.0,3.0,3.0,4.0,4.0,27.45167697450224,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.2336,0.6441,0.1223,0.4365,0.5056,0.0232,0.0065,0.0017,0.0015,0.8177,0.1739,0.2459,39407.0,0.0913,0.1659,0.0167,0.0328,0.2657,2.0,4.0,4.04,Urban,5.0,3.0,4.0,5.0,4.0,32.316050978570416,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
