percent_of_population_under_15_(2013_2017),percent_of_population_aged_15_to_64_(2013_2017),percent_of_population_65plus_(2013_2017),percent_of_population_white_(non_hispanic)_(2013_2017),percent_of_populaiton_black_(non_hispanic)_(2013_2017),percent_of_population_hispanic_or_latino_(2013_2017),percent_of_population_asian_(non_hispanic)_(2013_2017),percent_of_population_native_american_alaska_native_(non_hispanic)_(2013_2017),percent_of_population_native_hawaiian_pacific_islander_(2013_2017),percent_of_population_aged_25plus_who_have_at_least_a_high_school_diploma_(2013_2017),percent_of_population_aged_25plus_who_have_a_bachelor's_degree_or_more_(2013_2017),poverty_rate_(2013_2017),median_household_income_(2013_2017),unemployment_rate_(2013_2017),percent_of_residents_with_a_disability_(aged_18_64)_(2013_2017),percent_of_popualtion_employed_in_mining_and_natural_resources_(2013_2017),percent_of_popualtion_employed_in_construction_(2013_2017),percent_of_popualtion_employed_in_trade_transportation_and_utilities_(2013_2017),number_of_substance_use_facilities_(as_of_march_2023),number_of_mental_health_facilities_(as_of_march_2023),mdspercapita,urbanicity,social_resilience_score,economic_risk_score,social_risk_score,economic_resilience_score,prosperity_index_score,delta_death_rate,m_enforce,ad_providers_Physicians,m_providers_Physicians,PDMP_any,PDMP_strestOnly if other state has PDMP laws consistent with or similar to this state,m_disc_specifics_Risks of the use of the drug,mmps-cann_THC,mmps-cpa_Independent third parties,PDMP_regkindPhysician prescribers,PDMP_Medicaid,m_write,PDMP_regawhen_Prior to accessing the PDMP,PDMP_proactNo action specified in the law,PDMP_regkindPhysician assistants,ad_disc_specifics_Risks of the use of the drug,PDMP_regkind_Optometrists,PDMP_agency_Professional licensing authority,PDMP_strest_Must have bilateral memorandum of understanding or data sharing agreement,mmps-label_Product potency,PDMP_leowhenActive investigations,PDMP_regkindNurse Practitioners,diff_std,m_law,PDMP_regkind_Pharmacists,PDMP_drepschSchedule V,PDMP_regkind_Podiatrists,ad_write,adult_law,PDMP_regkind_Dentists,PDMP_mimm,PDMP_agencyDepartment of Health ,population
0.2326,0.5748,0.1926,0.941,0,0.0379,0,0.0047,0,0.9359,0.1635,0.1373,40564,0.0699,0.1595,0.1687,0.0145,0.1808,1,0,23.42,0,3,1,3,2,2,-1.271388778,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,842
0.1699,0.603,0.2271,0.9776,0.0012,0.0105,0.0014,0.0004,0,0.9179,0.1504,0.1244,52949,0.057,0.1216,0.0425,0.0361,0.1671,0,0,0,1,3,3,3,4,3,23.928828459305944,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,964
0.1397,0.6822,0.178,0.9279,0.0276,0.017,0.0074,0.0036,0,0.8316,0.1132,0.1883,39926,0.1806,0.2633,0.0565,0,0.2102,1,0,0,0,4,4,4,3,4,3.063451661582505,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,929
0.1452,0.5932,0.2616,0.91,0.047,0.0197,0.011,0.0031,0,0.8724,0.1374,0.149,39243,0.0852,0.2641,0,0.0098,0.0757,1,1,0,0,4,4,4,4,4,28.85425831021096,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,735
0.1727,0.6054,0.2219,0.9683,0.005,0.0081,0.0086,0,0,0.9247,0.167,0.0981,48598,0.0312,0.1137,0.0845,0.0336,0.2867,0,0,0,0,2,3,3,2,3,0.8846467364957249,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,775
0.1981,0.5528,0.2491,0.9616,0.0022,0.0214,0.0042,0.004,0,0.9078,0.1935,0.1099,46927,0.0527,0.1305,0.0815,0.0552,0.2582,0,0,0,0,2,1,3,2,2,22.416688537794776,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,985
0.1983,0.5906,0.2111,0.929,0.0072,0.0315,0.0056,0.0037,0,0.9239,0.187,0.1419,49455,0.0324,0.1303,0.1306,0.0354,0.1646,1,1,0,0,2,3,3,2,2,27.170146049885112,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,989
0.1871,0.5746,0.2383,0.9206,0.0119,0.0405,0,0.0145,0,0.9041,0.2427,0.125,41889,0.041,0.1435,0.186,0.0364,0.1231,0,0,0,0,3,3,2,5,3,1.5951479909326594,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,542
0.1669,0.5772,0.2559,0.8666,0.0026,0.0167,0,0.0614,0,0.8801,0.1828,0.1484,37927,0.0622,0.1737,0.0739,0.0225,0.1494,1,0,0,0,3,3,4,4,4,0.6453157716872795,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,659
0.1736,0.5607,0.2658,0.9067,0,0.0631,0.0149,0,0,0.9455,0.2456,0.0886,46058,0.017,0.1307,0.1151,0.0257,0.2035,0,0,0,0,2,3,3,2,2,0.4512563470262876,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,538
0.1976,0.5889,0.2135,0.8189,0.0075,0.1187,0.0075,0.0183,0.0038,0.9037,0.2875,0.1358,42976,0.0195,0.1187,0.1159,0,0.1035,0,0,0,0,1,3,3,1,1,3.224125685,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,406
0.1797,0.579,0.2413,0.9252,0,0.0627,0.0068,0,0,0.9343,0.2009,0.0857,43542,0.0466,0.0943,0.0429,0.0191,0.144,0,0,0,0,3,1,2,2,2,55.27915976,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,327
0.1639,0.5599,0.2762,0.9522,0.0042,0.0284,0,0.0066,0,0.9192,0.2617,0.1333,41362,0.0281,0.1166,0.1169,0.0048,0.211,0,0,0,0,2,3,5,3,3,1.1665842611401374,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,557
