FIPS,Percent-of-Population-Under-15-(2013-2017),Percent-of-Population-Aged-15-to-64-(2013-2017),Percent-of-Population-65+-(2013-2017),Percent-of-Population-White-(non-Hispanic)-(2013-2017),Percent-of-Populaiton-Black-(non-Hispanic)-(2013-2017),Percent-of-Population-Hispanic-or-Latino-(2013-2017),Percent-of-Population-Asian-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2013-2017),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2013-2017),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2013-2017),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2013-2017),Poverty-Rate-(2013-2017),Median-Household-Income-(2013-2017),Unemployment-Rate-(2013-2017),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2013-2017),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2013-2017),Percent-of-Popualtion-Employed-in-Construction-(2013-2017),Percent-of-Popualtion-Employed-in-Trade-Transportation-and-Utilities-(2013-2017),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,delta_death_rate,goodsam-law,goodsam-cs_Arrest,goodsam-cs_Charge,goodsam-cs_Prosecution,goodsam-cs_Law provides an affirmative defense,goodsam-cs_None,goodsam-paraphernalia_Arrest,goodsam-paraphernalia_Charge,goodsam-paraphernalia_Prosecution,goodsam-paraphernalia_Law provides an affirmative defense,goodsam-paraphernalia_None,goodsam-paroleyn,goodsam-parole_Protection from arrest,goodsam-parole_Protection from charge,goodsam-parole_Protection from prosecution,goodsam-parole_Protection from revocation of probation and/or parole,goodsam-parole_General protection from sanctions for violation of probation and/or parole,goodsam-mitigation,goodsam-mit-type_Controlled substances offenses,goodsam-mit-type_Alcohol-related offenses,goodsam-mit-type_Other offenses beyond controlled substances and alcohol-related violations
19171,0.207,0.6442,0.1488,0.9491,0.0039,0.0242,0.0047,0.0021,0.0011,0.9557,0.2885,0.0734,67090.0,0.0523,0.0896,0.0051,0.0845,0.209,3.0,1.0,0.0,1,2.0,1.0,1.0,4.0,2.0,18.68382811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19173,0.205,0.61,0.185,0.918,0.0079,0.0563,0.0047,0.0022,0.0005,0.9083,0.209,0.09,56864.0,0.0424,0.0994,0.0325,0.0987,0.1936,0.0,0.0,0.0,1,3.0,1.0,2.0,3.0,2.0,22.60908885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19175,0.2012,0.5749,0.224,0.9663,0.0064,0.012,0.0006,0.0033,0.0,0.8923,0.1305,0.1467,42088.0,0.0302,0.125,0.0011,0.0046,0.1728,2.0,1.0,0.0,0,3.0,4.0,4.0,3.0,3.0,31.23535842573793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19177,0.1757,0.6548,0.1695,0.8855,0.0436,0.0436,0.0117,0.0032,0.0001,0.9064,0.2061,0.1567,42196.0,0.0659,0.1236,0.008,0.0665,0.2569,3.0,4.0,5.4,0,3.0,3.0,3.0,3.0,3.0,24.291497975708506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19179,0.1732,0.6243,0.2026,0.9283,0.0075,0.039,0.0112,0.0068,0.0001,0.9103,0.2155,0.1025,49278.0,0.0659,0.1071,0.0725,0.0565,0.2014,0.0,0.0,0.0,0,3.0,1.0,1.0,4.0,2.0,28.35538752362949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19181,0.1525,0.6666,0.1809,0.9532,0.0086,0.021,0.0117,0.0019,0.0,0.9444,0.2758,0.0799,57009.0,0.0248,0.0586,0.047,0.0527,0.1788,2.0,2.0,0.0,0,2.0,1.0,1.0,3.0,1.0,24.051180912982822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19183,0.2203,0.6431,0.1366,0.7522,0.0293,0.1526,0.0272,0.0138,0.0009,0.8571,0.2168,0.1416,49010.0,0.05,0.1095,0.0046,0.075,0.2318,11.0,2.0,5.86,1,3.0,2.0,2.0,3.0,2.0,10.739460683810751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19185,0.1713,0.6312,0.1976,0.9501,0.0085,0.0271,0.0019,0.0003,0.0001,0.9233,0.1527,0.1047,49472.0,0.0626,0.1128,0.0173,0.0547,0.1558,0.0,0.0,0.0,0,3.0,2.0,2.0,3.0,2.0,26.44802962179317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19187,0.1938,0.5956,0.2106,0.8732,0.0049,0.1054,0.0057,0.0002,0.0,0.8996,0.1699,0.1285,46071.0,0.0624,0.0915,0.0822,0.0363,0.1666,2.0,0.0,15.51,0,2.0,3.0,3.0,3.0,3.0,23.27205026762858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19189,0.1936,0.6098,0.1966,0.9092,0.0189,0.0326,0.0016,0.0019,0.0011,0.9042,0.1832,0.1541,40911.0,0.0531,0.1822,0.0317,0.0201,0.134,1.0,2.0,7.72,0,3.0,3.0,3.0,4.0,3.0,23.16423442205236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
